NCONF: 670000, ETOT(kcal/mol)= 14.7832,  Econf=  -1.50876,   Eprot= 5.29082,   EDebye=  0,   W=  0,   Estr=  3.93,   Ebdn=  6.7525
NCONF: 680000, ETOT(kcal/mol)= 15.9702,  Econf=  -1.78946,   Eprot= 5.29082,   EDebye=  0.328793,   W=  0,   Estr=  8.34,   Ebdn=  3.75875
NCONF: 690000, ETOT(kcal/mol)= 14.0815,  Econf=  -0.75438,   Eprot= 5.29082,   EDebye=  0,   W=  0,   Estr=  6.63,   Ebdn=  2.39875
NCONF: 700000, ETOT(kcal/mol)= 9.67209,  Econf=  -2.54384,   Eprot= 5.29082,   EDebye=  0.220106,   W=  0,   Estr=  3.135,   Ebdn=  3.80375
NCONF: 710000, ETOT(kcal/mol)= 13.9992,  Econf=  -2.82454,   Eprot= 5.29082,   EDebye=  0,   W=  0,   Estr=  6.03,   Ebdn=  5.02
NCONF: 720000, ETOT(kcal/mol)= 17.5828,  Econf=  -0.727254,   Eprot= 5.29082,   EDebye=  0,   W=  0,   Estr=  7.83,   Ebdn=  5.135
NCONF: 730000, ETOT(kcal/mol)= 11.4918,  Econf=  -2.54384,   Eprot= 5.29082,   EDebye=  0.164469,   W=  0,   Estr=  3.495,   Ebdn=  5.02
NCONF: 740000, ETOT(kcal/mol)= 9.20413,  Econf=  -4.70504,   Eprot= 5.29082,   EDebye=  0.102231,   W=  0,   Estr=  2.655,   Ebdn=  5.7575
NCONF: 750000, ETOT(kcal/mol)= 10.8438,  Econf=  -2.54384,   Eprot= 5.29082,   EDebye=  0,   W=  0,   Estr=  4.185,   Ebdn=  3.7725
NCONF: 760000, ETOT(kcal/mol)= 12.3101,  Econf=  -2.54384,   Eprot= 5.29082,   EDebye=  0.170519,   W=  0,   Estr=  4.995,   Ebdn=  4.44875
NCONF: 770000, ETOT(kcal/mol)= 9.55965,  Econf=  -2.82454,   Eprot= 5.29082,   EDebye=  0,   W=  0,   Estr=  4.485,   Ebdn=  2.3525
NCONF: 780000, ETOT(kcal/mol)= 11.5064,  Econf=  -2.82454,   Eprot= 5.29082,   EDebye=  0.165553,   W=  0,   Estr=  4.89,   Ebdn=  3.72875
NCONF: 790000, ETOT(kcal/mol)= 13.2995,  Econf=  -1.50876,   Eprot= 5.29082,   EDebye=  0.137768,   W=  0,   Estr=  4.605,   Ebdn=  4.76875
NCONF: 800000, ETOT(kcal/mol)= 14.1515,  Econf=  -3.57892,   Eprot= 5.29082,   EDebye=  0.387822,   W=  0,   Estr=  7.56,   Ebdn=  4.3375
NCONF: 810000, ETOT(kcal/mol)= 14.7814,  Econf=  -2.54384,   Eprot= 5.29082,   EDebye=  0.210209,   W=  0,   Estr=  4.2,   Ebdn=  7.42
NCONF: 820000, ETOT(kcal/mol)= 12.6024,  Econf=  -2.21424,   Eprot= 5.29082,   EDebye=  0.166591,   W=  0,   Estr=  4.245,   Ebdn=  5.20375
NCONF: 830000, ETOT(kcal/mol)= 13.3663,  Econf=  -2.82454,   Eprot= 5.29082,   EDebye=  0.136624,   W=  0,   Estr=  5.73,   Ebdn=  4.65875
NCONF: 840000, ETOT(kcal/mol)= 15.6587,  Econf=  -3.29822,   Eprot= 5.29082,   EDebye=  0.177993,   W=  0,   Estr=  6.705,   Ebdn=  6.69875
NCONF: 850000, ETOT(kcal/mol)= 16.6787,  Econf=  0.0271167,   Eprot= 5.29082,   EDebye=  0,   W=  0,   Estr=  7.56,   Ebdn=  3.55125
NCONF: 860000, ETOT(kcal/mol)= 13.0195,  Econf=  -0.898457,   Eprot= 5.29082,   EDebye=  0.164256,   W=  0,   Estr=  3.525,   Ebdn=  4.745
NCONF: 870000, ETOT(kcal/mol)= 16.0881,  Econf=  -1.93353,   Eprot= 5.29082,   EDebye=  0.618282,   W=  0,   Estr=  5.43,   Ebdn=  6.6825
NCONF: 880000, ETOT(kcal/mol)= 13.0807,  Econf=  -2.82454,   Eprot= 5.29082,   EDebye=  0.342508,   W=  0,   Estr=  3.87,   Ebdn=  6.44375
NCONF: 890000, ETOT(kcal/mol)= 13.9166,  Econf=  -0.727254,   Eprot= 5.29082,   EDebye=  0.401062,   W=  0,   Estr=  4.935,   Ebdn=  3.935
NCONF: 900000, ETOT(kcal/mol)= 13.7548,  Econf=  -2.54384,   Eprot= 5.29082,   EDebye=  0.108445,   W=  0,   Estr=  5.445,   Ebdn=  5.1
NCONF: 910000, ETOT(kcal/mol)= 12.7711,  Econf=  -2.54384,   Eprot= 5.29082,   EDebye=  0.23526,   W=  0,   Estr=  5.685,   Ebdn=  3.91375
NCONF: 920000, ETOT(kcal/mol)= 9.97839,  Econf=  -2.54384,   Eprot= 5.29082,   EDebye=  0.156853,   W=  0,   Estr=  3.555,   Ebdn=  3.7025
NCONF: 930000, ETOT(kcal/mol)= 14.0078,  Econf=  -2.54384,   Eprot= 5.29082,   EDebye=  0.29456,   W=  0,   Estr=  4.695,   Ebdn=  6.27125
NCONF: 940000, ETOT(kcal/mol)= 12.7956,  Econf=  -2.82454,   Eprot= 5.29082,   EDebye=  0,   W=  0,   Estr=  6.21,   Ebdn=  3.48875
NCONF: 950000, ETOT(kcal/mol)= 14.889,  Econf=  -2.54384,   Eprot= 5.29082,   EDebye=  0.425733,   W=  0,   Estr=  6.195,   Ebdn=  5.52125
NCONF: 960000, ETOT(kcal/mol)= 8.96012,  Econf=  -3.95066,   Eprot= 5.29082,   EDebye=  0.1275,   W=  0,   Estr=  3.945,   Ebdn=  3.3975
NCONF: 970000, ETOT(kcal/mol)= 12.9437,  Econf=  -1.78946,   Eprot= 5.29082,   EDebye=  0.136135,   W=  0,   Estr=  5.16,   Ebdn=  3.985
NCONF: 980000, ETOT(kcal/mol)= 10.25,  Econf=  -2.07016,   Eprot= 5.29082,   EDebye=  0,   W=  0,   Estr=  3.39,   Ebdn=  3.59
NCONF: 990000, ETOT(kcal/mol)= 16.5541,  Econf=  0.307828,   Eprot= 5.29082,   EDebye=  0.38418,   W=  0,   Estr=  6.84,   Ebdn=  3.485
NCONF: 1000000, ETOT(kcal/mol)= 12.4938,  Econf=  -1.78946,   Eprot= 5.29082,   EDebye=  0,   W=  0,   Estr=  4.44,   Ebdn=  4.0275
